intid,q1,tenure,rsentity,int_gender,int_ethnicity,off_female,off_bosniak,elected,tr_wearhijab,hijab_muslim,dv_const_1,dv_const_2,dv_const_3,dv_const_4,dv_const_5,dv_const_6,dv_represent_scale,dv_ethnic_coop_scale,approve_scale
18522,2,3,0,2,1,0,0,1,1,0,5,4,4,4,4,4,0.61853278,0.17298293,4
18522,3,0,0,2,1,1,1,0,0,0,4,3,4,4,4,4,-0.21750557,0.17298293,4
18522,2,7,0,2,1,0,0,1,1,0,5,4,4,3,2,4,0.61853278,-1.7124715,4
18522,3,1,0,2,1,1,1,1,0,0,5,5,5,1,4,4,1.490535,-1.7454023,4
18522,2,3,0,2,1,0,0,1,1,0,5,5,5,5,2,4,1.490535,-0.43354806,4
18522,3,0,0,2,1,0,1,0,1,1,5,5,3,4,3,5,0.58933425,-0.45001343,5
18522,3,0,0,2,1,0,1,0,0,0,5,2,4,5,5,4,-0.22427088,1.435441,4
18522,3,0,0,2,1,1,1,0,0,0,5,5,5,5,5,5,1.490535,1.435441,5
18522,3,15,0,2,1,0,1,1,0,0,5,5,5,5,5,4,1.490535,1.435441,4
18522,3,7,0,2,1,0,1,1,1,1,5,5,5,5,5,5,1.490535,1.435441,5
18522,2,5,0,2,1,0,0,1,0,0,4,3,4,4,4,4,-0.21750557,0.17298293,4
18522,3,0,0,2,1,1,1,0,1,1,4,4,5,4,4,4,0.65449661,0.17298293,4
18522,3,25,0,2,1,0,1,1,0,0,5,2,4,4,4,4,-0.22427088,0.17298293,4
18522,3,3,0,2,1,0,1,1,1,1,5,5,5,4,2,5,1.490535,-1.0730098,5
18522,2,0,0,2,1,0,0,0,0,0,4,4,4,4,4,4,0.20389625,0.17298293,4
18522,2,0,0,2,1,0,0,0,1,0,5,4,4,5,2,4,0.61853278,-0.43354806,4
18522,2,0,0,2,1,0,0,0,1,0,4,4,4,4,3,4,0.20389625,-0.45001343,4
18522,2,4,0,2,1,0,0,1,0,0,4,4,4,4,4,4,0.20389625,0.17298293,4
18522,3,3,0,2,1,0,1,1,0,0,5,5,5,5,5,5,1.490535,1.435441,5
26846,1,0,1,2,1,1,0,0,0,0,4,5,4,4,5,5,0.62529808,0.79597932,5
26846,1,8,1,2,1,0,0,1,0,0,2,3,2,3,2,3,-1.9479795,-1.7124715,3
26846,1,0,1,2,1,1,0,0,0,0,5,5,5,5,4,5,1.490535,0.81244469,5
26846,1,0,1,2,1,0,0,0,1,0,4,5,4,5,4,5,0.62529808,0.81244469,5
26846,1,0,1,2,1,1,0,0,0,0,4,3,5,5,4,5,0.2330948,0.81244469,5
26846,1,12,1,2,1,0,0,1,0,0,4,3,2,3,2,3,-1.1187063,-1.7124715,3
26846,1,7,1,2,1,0,0,1,1,0,5,4,5,4,4,4,1.0691332,0.17298293,4
26846,1,4,1,2,1,0,0,1,1,0,5,5,5,5,5,4,1.490535,1.435441,4
26846,1,4,1,2,1,0,0,1,0,0,2,4,4,3,4,5,-0.62537682,-0.46647879,5
26846,1,4,1,2,1,0,0,1,0,0,2,1,2,1,2,2,-2.7907832,-2.991395,2
26846,1,2,1,2,1,0,0,1,1,0,2,3,2,1,3,2,-1.9479795,-2.3683987,2
26846,1,3,1,2,1,0,0,1,0,0,3,4,4,4,5,4,-0.21074028,0.79597932,4
26846,1,0,1,2,1,0,0,0,1,0,5,5,3,4,5,4,0.58933425,0.79597932,4
