"","def.race","vict.race","sentence"
"504","black","black","life sentence"
"505","black","black","death penalty"
"506","black","black","life sentence"
"507","black","black","life sentence"
"508","black","black","life sentence"
"509","black","black","life sentence"
"510","white","white","life sentence"
"511","white","white","death penalty"
"512","white","white","life sentence"
"513","white","white","life sentence"
"514","black","black","life sentence"
"515","white","white","life sentence"
"516","white","white","life sentence"
"517","white","white","life sentence"
"518","white","white","life sentence"
"519","white","white","life sentence"
"520","white","white","life sentence"
"521","black","black","death penalty"
"522","black","white","life sentence"
"523","black","white","life sentence"
"524","black","white","life sentence"
"525","black","black","life sentence"
"526","black","white","life sentence"
"527","black","black","life sentence"
"528","black","black","life sentence"
"529","white","white","death penalty"
"530","black","black","life sentence"
"531","white","white","life sentence"
"532","white","white","life sentence"
"533","black","white","death penalty"
"534","black","white","death penalty"
"535","white","white","life sentence"
"536","white","white","life sentence"
"537","black","black","life sentence"
"539","black","white","life sentence"
"540","white","white","life sentence"
"542","white","white","life sentence"
"543","black","black","life sentence"
"544","white","white","death penalty"
"545","white","white","death penalty"
"546","white","white","death penalty"
"547","white","white","death penalty"
"548","black","black","life sentence"
"549","black","black","life sentence"
"550","white","white","life sentence"
"551","black","black","life sentence"
"552","black","black","life sentence"
"553","white","white","death penalty"
"554","black","black","life sentence"
"555","white","white","life sentence"
"556","white","white","life sentence"
"557","white","white","life sentence"
"558","black","black","life sentence"
"559","white","white","life sentence"
"560","white","white","life sentence"
"561","black","black","life sentence"
"562","black","black","life sentence"
"563","black","black","life sentence"
"564","black","white","life sentence"
"565","white","white","life sentence"
"566","white","white","life sentence"
"568","black","black","life sentence"
"569","black","black","life sentence"
"570","black","white","death penalty"
"572","black","white","life sentence"
"573","black","black","life sentence"
"574","white","white","life sentence"
"575","black","black","life sentence"
"576","white","white","life sentence"
"577","black","black","life sentence"
"578","black","black","life sentence"
"579","black","black","life sentence"
"580","black","black","life sentence"
"581","white","white","life sentence"
"582","black","black","life sentence"
"583","black","black","life sentence"
"584","black","black","life sentence"
"585","black","black","death penalty"
"586","black","white","life sentence"
"587","white","white","death penalty"
"588","black","white","life sentence"
"589","black","white","life sentence"
"590","black","white","life sentence"
"591","black","white","life sentence"
"592","black","black","life sentence"
"593","black","white","life sentence"
"594","white","white","life sentence"
"595","black","black","life sentence"
"596","black","black","life sentence"
"597","white","white","life sentence"
"598","white","white","life sentence"
"599","black","black","life sentence"
"600","black","black","life sentence"
"601","black","black","life sentence"
"602","white","white","life sentence"
"603","white","white","life sentence"
"604","white","white","life sentence"
"605","black","white","life sentence"
"606","black","white","life sentence"
"607","white","white","life sentence"
"608","white","white","life sentence"
"609","white","white","life sentence"
"610","white","white","life sentence"
"611","white","white","life sentence"
"612","white","black","life sentence"
"613","white","white","life sentence"
"614","black","white","life sentence"
"615","black","black","life sentence"
"616","black","black","life sentence"
"617","black","black","life sentence"
"618","black","white","death penalty"
"619","white","white","life sentence"
"620","black","white","life sentence"
"621","white","white","life sentence"
"622","black","black","life sentence"
"623","white","white","life sentence"
"625","black","white","death penalty"
"626","black","white","death penalty"
"627","black","white","death penalty"
"628","black","white","death penalty"
"629","black","black","life sentence"
"630","black","white","life sentence"
"631","white","white","life sentence"
"632","black","white","life sentence"
"633","black","black","life sentence"
"634","black","white","life sentence"
"635","black","black","life sentence"
"636","black","white","life sentence"
"637","black","black","life sentence"
"638","white","white","life sentence"
"639","black","black","life sentence"
"640","white","white","life sentence"
"641","white","white","death penalty"
"642","white","white","death penalty"
"643","black","black","life sentence"
"644","black","black","life sentence"
"645","black","black","life sentence"
"646","white","black","life sentence"
"647","black","white","life sentence"
"648","white","white","life sentence"
"649","black","black","life sentence"
"650","white","white","life sentence"
"651","black","white","life sentence"
"652","white","white","life sentence"
