"","gender","educ","ideo5","hardtorelate","angry","age","republican","democrat"
"142",1,5,5,1,5,62,1,0
"143",0,3,1,1,5,73,0,1
"144",0,2,3,0,3,41,0,0
"145",0,6,3,1,4,73,0,0
"146",1,3,4,0,3,29,0,0
"147",1,5,2,1,5,73,0,1
"148",0,6,4,1,5,66,1,0
"149",1,6,2,1,5,56,0,1
"150",1,3,2,1,5,57,0,1
"151",0,6,3,1,5,76,0,0
"152",1,4,3,1,5,51,0,0
"153",0,4,4,0,5,49,1,0
"154",0,4,4,1,5,59,0,0
"155",0,5,1,0,5,53,0,1
"156",0,5,1,0,5,61,0,0
"157",1,5,3,0,5,64,0,0
"158",1,3,2,1,4,62,0,1
"159",1,4,3,0,3,47,0,0
"160",0,5,5,1,5,57,1,0
"161",1,4,3,0,5,56,0,0
"162",0,2,3,1,5,64,0,1
"163",1,3,1,1,5,47,0,1
"164",0,2,1,1,4,31,0,1
"165",1,3,NA,1,1,32,0,1
"166",1,2,4,1,3,58,0,0
"167",1,5,2,1,5,46,0,1
"168",1,2,4,0,3,61,1,0
"169",0,2,2,1,4,68,0,1
"170",1,4,5,0,4,64,1,0
"171",0,1,3,1,3,59,0,1
"172",1,2,5,1,4,66,1,0
"173",0,3,2,1,5,51,0,1
"174",1,4,3,0,3,62,0,1
"175",0,3,5,1,3,59,0,0
"176",0,2,4,1,4,80,0,0
"177",0,4,4,1,5,59,1,0
"178",0,2,2,1,4,50,0,1
"179",0,6,3,1,5,66,0,0
"180",1,3,2,1,4,70,0,0
"181",1,3,2,1,5,40,0,0
"182",0,4,4,1,5,69,1,0
"183",0,2,5,0,3,59,0,0
"184",0,2,4,1,3,51,1,0
"185",0,5,5,0,5,64,1,0
"186",1,5,3,1,4,48,0,0
"187",0,2,5,0,4,58,1,0
"188",1,4,3,0,5,72,0,0
"189",1,2,3,0,5,52,0,0
"190",1,3,3,1,5,78,0,1
"191",1,2,3,0,4,34,0,1
"192",0,5,4,0,5,59,1,0
"193",0,2,4,1,1,53,1,0
"194",0,6,3,1,5,56,0,0
"195",1,3,2,1,5,86,0,1
"196",1,6,3,0,5,68,0,1
"197",1,2,NA,1,4,64,0,1
"198",1,3,2,1,5,64,0,1
"199",0,6,1,1,5,62,0,1
"200",0,3,3,1,5,38,0,0
"201",0,3,4,0,4,83,1,0
"202",0,2,4,1,5,72,1,0
"203",0,3,3,0,5,86,0,0
"204",0,2,4,0,3,71,0,0
"205",0,3,5,0,4,61,0,0
"206",0,4,3,1,NA,82,0,0
"207",1,5,4,0,5,69,0,0
"208",0,6,5,1,4,76,1,0
"209",1,2,2,1,5,64,0,1
"210",0,2,4,1,3,59,0,0
"211",1,5,2,1,5,71,0,1
"212",0,2,5,1,5,71,0,0
"213",1,4,3,1,5,56,0,1
"214",0,3,4,0,3,37,0,0
"215",0,5,5,0,3,61,1,0
"216",1,4,2,1,5,57,0,1
"217",1,5,3,1,5,33,0,1
"218",0,5,4,1,5,60,1,0
"219",0,4,1,1,3,63,0,0
"220",0,5,5,1,5,78,1,0
"221",0,3,4,0,1,58,0,0
"222",0,5,2,0,5,25,0,1
"223",0,3,2,0,4,53,0,0
"224",0,5,2,1,4,29,0,1
"225",0,5,4,0,4,61,1,0
"226",0,2,2,1,4,43,0,1
"227",0,5,4,1,4,80,1,0
"228",1,3,4,1,5,64,1,0
"229",1,5,5,1,5,61,1,0
"230",0,4,2,1,4,79,0,1
"231",1,4,3,0,5,80,0,0
"232",0,3,5,1,4,56,0,0
"233",0,3,4,1,4,78,1,0
"234",1,2,3,1,5,65,0,0
"235",1,3,1,1,4,67,0,0
"236",1,5,NA,0,2,53,0,0
"237",1,2,3,1,4,75,1,0
"238",1,6,3,0,5,36,0,0
"239",1,6,3,1,5,76,0,1
"240",0,3,3,1,4,72,0,0
"241",0,2,3,0,4,55,0,0
