top1la,mgdppc,tradedep,secsharel10,fempart,wcentld,totden2,leftgov,nondem,funisuf,period,stnum
9.717499924,6.722921944,44.47724159,0.222982204,0.277246226,0,44.2524574,1,0,1,9,920
9.915999985,7.582634163,47.6870988,0.247587553,0.245000473,0,47.46048724,0.8,0,1,10,920
9.719999886,8.154860973,56.9558403,0.275123832,0.337441996,0,42.43263818,0,0,1,11,920
8.037999916,9.265196991,46.98607101,0.335658276,0.277486263,0,46.42299124,0.8,0,1,12,920
7.239999962,10.18091106,37.77895966,0.387882948,0.302219697,0,43.40180035,0,0,1,13,920
6.646000004,11.05800304,36.7843399,0.439834684,0.296153809,0,47.520055,0,0,1,14,920
7.022000027,12.24374008,38.80421448,0.531478035,0.306924361,0,41.93472427,0.8,0,1,15,920
6.275500011,12.26043186,45.07648163,0.559479213,0.32647035,0,50.16117321,0,0,1,16,920
5.562999916,13.33154831,48.71579514,0.592140174,0.3318231,0,52.26983227,0.4,0,1,17,920
5.967000008,13.98454533,40.46865845,0.643582749,0.388143508,0,52.42600127,1,0,1,18,920
8.581500053,14.30655537,62.43094952,0.693256164,0.355117262,0,34.29999962,0,0,1,19,920
10.09850006,15.7407198,57.62769182,0.924499583,0.288990703,0,22.63999977,0.4,0,1,20,920
