caseid,weight_full,mode,voted2012,regist2016,primary2016,intend.vote,ideology,pid_strength,born_again,fundamentalist,race,female,income,hannity,minutes60,cooper,matthews,press,conan,big.bang,modern.family,rush,NPR,voted2016,vote.choice2016,Dem.Pres.candFT,GOP.Pres.candFT,Lib.Pres.candFT,Green.Pres.candFT,Dem.House.candFT,GOP.House.candFT,Ind.House.candFT,Dem.Sen.candFT,GOP.Sen.candFT,Ind.Sen.candFT,Sr.SenFT,Jr.SenFT,Nonrun.SenFT,Dem.VP.candFT,GOP.VP.candFT,RobertsFT,PopeFT,Christian.FundFT,FemFT,LiberalsFT,Labor.UnionsFT,PoorFT,Big.BusinessFT,ConservativesFT,SCtFT,GaysFT,CongressFT,RichFT,MuslimsFT,ChristiansFT,JewsFT,Tea.PartyFT,PoliceFT,TransFT,ScientistsFT,BLMFT,tax.mill,vaccinces.in.school,vaccines,Govt.Reduce.Eq,Req.Equal,how.equal,Foreign.Im,immig.support,Free.Trade.Ag,marijuana,AsiansFT,HispanicsFT,BlacksFT,IllegalsFT,WhitesFT,location,educ,GOP,Dem,employed,cath_attend,prot_attend,jew_attend,cath_nonatt,prot_nonatt,jew_nonatt,Obama12,Romney12,yes.vote2016,Trump16,Clinton16
407451,0.8739,2,1,1,1,1,4,2,0,0,1,0,5,0,0,0,0,0,0,0,1,0,0,4,2,15,100,15,70,60,60,NA,60,70,NA,NA,NA,60,40,100,85,60,60,70,NA,70,70,70,60,60,70,40,60,40,70,85,70,85,60,60,50,1,1,1,0,1,1,NA,3,1,1,40,30,62,30,85,MD,3,0,1,1,0,0,0,1,0,0,1,0,1,1,0
407455,1.4986,2,1,1,1,1,4,4,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,4,3,40,40,70,50,50,70,NA,50,30,NA,NA,NA,60,40,60,50,85,30,50,50,50,NA,60,50,50,60,40,60,50,50,50,50,70,NA,60,50,1,1,2,1,1,1,1,3,1,1,85,85,85,50,85,OK,5,0,0,1,0,0,0,0,0,0,1,0,1,0,0
407456,1.284,2,1,1,1,1,6,7,1,0,1,0,1,0,0,0,0,0,0,1,0,NA,NA,4,2,16,83,58,61,56,69,NA,64,NA,45,NA,NA,41,69,99,59,75,100,3,3,82,86,38,99,68,NA,60,62,1,98,98,97,100,23,57,27,1,0,NA,1,1,1,NA,3,0,-1,15,15,50,0,50,CA,2,1,0,0,0,0,0,0,0,0,0,1,1,1,0
407458,1.525,2,0,1,0,1,4,3,1,0,1,1,3,0,0,0,0,0,0,1,1,NA,NA,4,1,71,16,59,50,71,51,NA,71,33,NA,NA,NA,60,NA,17,NA,50,73,71,54,72,70,41,60,52,71,29,61,3,86,60,30,60,66,71,71,1,1,2,1,1,1,NA,1,-1,1,30,15,70,0,100,FL,3,0,0,1,0,0,0,0,0,0,NA,NA,1,0,1
407460,0.946,2,1,1,1,1,4,2,1,0,1,1,2,0,0,0,1,0,0,0,0,NA,NA,4,1,61,31,19,50,39,60,NA,NA,NA,NA,70,50,NA,51,48,53,69,65,60,73,98,79,17,62,70,60,32,43,44,92,99,50,27,57,89,45,1,1,1,0,1,1,NA,2,0,1,50,50,51,32,51,WV,3,0,1,1,0,1,0,0,0,0,1,0,1,0,1
407468,0,2,0,0,0,1,6,7,0,0,1,1,3,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ID,4,1,0,0,0,0,0,0,0,0,NA,NA,0,0,0
407476,0.4862,2,1,1,0,1,NA,4,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,4,3,15,60,50,50,70,50,NA,70,50,NA,NA,NA,70,50,50,50,60,50,50,50,40,50,60,50,70,70,40,50,50,60,50,50,70,50,60,50,1,1,1,0,1,1,NA,2,0,0,70,60,50,15,50,HI,4,0,0,1,0,0,0,0,0,0,1,0,1,0,0
407479,1.4006,2,1,1,0,1,NA,5,1,0,1,0,4,0,0,0,0,0,0,1,1,0,0,4,2,1,100,51,17,NA,99,NA,NA,60,NA,NA,NA,72,4,99,50,0,50,50,50,30,70,43,50,50,2,39,50,32,100,100,50,99,3,50,0,-1,1,1,1,1,1,1,1,-1,0,50,50,50,0,50,SC,2,0,0,1,0,0,0,0,0,0,0,1,1,1,0
407482,0.6416,2,1,1,1,1,5,3,1,0,1,0,5,0,1,0,1,1,0,1,1,0,0,4,1,22,35,50,50,59,62,NA,54,84,NA,NA,NA,63,73,59,70,94,30,40,61,80,50,29,40,70,77,10,50,51,75,92,15,91,60,85,1,0,1,1,1,1,1,NA,3,1,-1,90,80,40,50,85,IA,4,0,0,0,1,0,0,0,0,0,1,0,1,0,1
407484,3.0285,2,0,0,0,NA,NA,4,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,4,1,40,0,50,60,30,NA,NA,40,50,NA,NA,NA,40,NA,0,NA,50,0,100,100,50,100,0,0,50,100,25,0,100,15,100,50,90,100,70,90,1,-1,1,1,1,1,1,4,-1,1,70,70,70,70,70,CT,2,0,0,1,0,0,0,0,0,0,NA,NA,1,0,1
