age,age2,gender,ethnicity,education,vote,interest.politics,elections.clean,ideology,pres.approval
50,3,1,2,1,1,2,1,9,1
32,2,0,2,1,1,2,1,9,1
31,2,1,2,6,1,2,1,9,1
20,1,0,6,6,1,2,1,9,1
24,1,0,4,2,1,2,1,9,1
31,2,1,5,2,1,2,1,9,1
57,3,1,5,2,1,2,1,9,1
47,3,0,6,2,1,2,1,9,1
65,4,0,6,7,1,3,1,9,1
47,3,1,6,3,1,3,1,9,1
58,3,1,4,5,1,3,1,9,1
33,2,1,6,5,1,3,1,9,1
40,2,0,6,5,1,3,1,9,1
26,2,1,6,6,1,3,1,9,1
42,3,0,4,2,1,3,1,9,1
50,3,0,6,2,1,3,1,9,1
57,3,0,6,2,1,3,1,9,1
65,4,0,6,2,1,3,1,9,1
70,4,0,6,4,1,3,1,9,1
16,1,0,4,3,0,1,1,9,1
20,1,1,7,3,0,1,1,9,1
35,2,1,,2,0,1,1,9,1
16,1,0,5,4,0,1,1,9,1
44,3,1,5,7,1,1,1,9,1
42,3,0,4,5,1,1,1,9,1
51,3,0,4,5,1,1,1,9,1
36,2,1,6,6,1,1,1,9,1
52,3,1,4,2,1,1,1,9,1
38,2,1,5,2,1,1,1,9,1
19,1,0,6,2,1,1,1,9,1
21,1,0,6,2,1,1,1,9,1
35,2,0,6,2,1,1,1,9,1
47,3,0,6,2,1,1,1,9,1
32,2,0,4,7,1,4,1,9,1
33,2,0,6,7,1,4,1,9,1
30,2,0,6,3,1,4,1,9,1
62,4,1,6,2,1,4,1,9,1
23,1,0,6,5,0,2,0,9,1
34,2,1,4,1,0,2,0,9,1
19,1,1,5,4,0,2,0,9,1
28,2,0,4,3,1,2,0,9,1
24,1,0,2,5,1,2,0,9,1
28,2,0,6,1,1,2,0,9,1
47,3,1,,6,1,2,0,9,1
63,4,0,6,6,1,2,0,9,1
26,2,0,2,2,1,2,0,9,1
42,3,0,5,2,1,2,0,9,1
47,3,0,5,2,1,2,0,9,1
30,2,1,6,2,1,2,0,9,1
58,3,0,6,2,1,2,0,9,1
40,2,1,4,3,1,3,0,9,1
48,3,1,6,5,1,3,0,9,1
72,4,0,4,1,1,3,0,9,1
37,2,1,4,2,1,3,0,9,1
46,3,0,4,2,1,3,0,9,1
30,2,0,2,4,1,3,0,9,1
61,4,1,5,4,1,3,0,9,1
21,1,0,4,2,0,1,0,9,1
18,1,1,5,2,0,1,0,9,1
46,3,0,6,2,0,1,0,9,1
19,1,0,2,3,1,1,0,9,1
43,3,0,2,3,1,1,0,9,1
57,3,0,6,3,1,1,0,9,1
39,2,1,4,2,1,1,0,9,1
72,4,0,4,2,1,1,0,9,1
41,3,1,5,2,1,1,0,9,1
19,1,0,2,4,1,1,0,9,1
21,1,0,4,4,1,1,0,9,1
25,1,0,4,7,1,4,0,9,1
31,2,1,2,5,1,4,0,9,1
60,3,0,4,2,1,4,,9,1
37,2,1,6,7,1,2,1,10,1
31,2,1,5,3,1,2,1,10,1
43,3,0,5,5,1,2,1,10,1
